Month,Total_Quantity,Total_Revenue,Unique_SKUs,Unique_Orders,Revenue_Growth,Quantity_Growth
2025-01,5124,8897687.82,81,7627,,
2025-02,3751,7451437.34,71,5077,-16.254228168683948,-26.79547228727557
2025-03,5082,9195676.32,70,7290,23.408087599915326,35.48387096774193
2025-04,4407,7664976.26,61,6684,-16.645867108989332,-13.282172373081469
2025-05,6417,10907209.53,66,9060,42.299325660272814,45.60925799863853
2025-06,7378,12298978.67,70,10143,12.760084384296233,14.975845410628018
