SKU,Total_Quantity,Total_Orders,Avg_Quantity_Per_Order,Total_Revenue,Avg_Order_Value,First_Sale,Last_Sale,Revenue_Per_Unit,Days_Active,Daily_Avg_Quantity
LA12,15,17,0.88,43915.13,2583.24,2025-01-01,2025-06-30,2927.675333333333,181,0.08287292817679558
LAF01,9,43,0.21,40204.24,934.98,2025-01-01,2025-06-23,4467.137777777778,174,0.05172413793103448
LAF02,99,179,0.55,442356.8,2471.27,2025-01-01,2025-06-30,4468.250505050505,181,0.5469613259668509
LAF03,68,128,0.53,268688.98,2099.13,2025-01-01,2025-06-30,3951.3085294117645,181,0.3756906077348066
LGM747,115,193,0.6,460520.39,2386.12,2025-01-02,2025-06-30,4004.5251304347826,180,0.6388888888888888
LICRH01,43,127,0.34,50810.23,400.08,2025-01-01,2025-06-29,1181.6332558139536,180,0.2388888888888889
LIRH01,11,49,0.22,8380.46,171.03,2025-01-01,2025-01-28,761.8599999999999,28,0.39285714285714285
LIRH02,37,185,0.2,30276.13,163.65,2025-01-01,2025-01-25,818.2737837837838,25,1.48
LMX04,184,269,0.68,722362.69,2685.36,2025-01-04,2025-06-30,3925.8841847826084,178,1.0337078651685394
LNUB01,-1,1,-1.0,-1863.56,-1863.56,2025-01-01,2025-01-01,1863.56,1,-1.0
LNUB5J01,1,1,1.0,2795.76,2795.76,2025-06-30,2025-06-30,2795.76,1,1.0
LNUB5J011,4,16,0.25,7793.24,487.08,2025-01-01,2025-01-01,1948.31,1,4.0
LNUB5JR01,10,12,0.83,19483.1,1623.59,2025-01-01,2025-03-07,1948.31,66,0.15151515151515152
LNUB5JS01,1,1,1.0,2117.8,2117.8,2025-03-01,2025-03-01,2117.8,1,1.0
LNUBJ011,10,12,0.83,20330.5,1694.21,2025-01-01,2025-01-28,2033.05,28,0.35714285714285715
LNUBJC011,8,12,0.67,18298.32,1524.86,2025-01-01,2025-01-01,2287.29,1,8.0
LNUBJCS01,7,13,0.54,16011.03,1231.62,2025-01-01,2025-01-01,2287.29,1,7.0
LNUBJR01,0,2,0.0,0.0,0.0,2025-03-19,2025-04-10,,23,0.0
LNUBJS01,5,15,0.33,9317.8,621.19,2025-01-01,2025-01-09,1863.56,9,0.5555555555555556
LNUBR01,4,16,0.25,6437.28,402.33,2025-01-01,2025-01-01,1609.32,1,4.0
LNUBS01,7,9,0.78,11858.49,1317.61,2025-01-01,2025-01-01,1694.07,1,7.0
LPB01BL,943,1502,0.63,1538804.67,1024.5,2025-01-01,2025-06-30,1631.8183138918346,181,5.209944751381215
LPB01BU,33,55,0.6,54379.73,988.72,2025-01-01,2025-06-30,1647.8706060606062,181,0.18232044198895028
LPB01GR,12,20,0.6,20761.04,1038.05,2025-01-05,2025-06-18,1730.0866666666668,165,0.07272727272727272
LPB01GR1,8,14,0.57,13467.81,961.99,2025-01-01,2025-02-28,1683.47625,59,0.13559322033898305
LPB01PI,105,185,0.57,175075.5,946.35,2025-01-01,2025-06-30,1667.3857142857144,181,0.580110497237569
LPB01WH,120,206,0.58,199107.63,966.54,2025-01-01,2025-06-30,1659.23025,181,0.6629834254143646
LPC01,16,20,0.8,94017.01,4700.85,2025-01-02,2025-06-30,5876.063125,180,0.08888888888888889
LPC02,12,16,0.75,52341.52,3271.34,2025-01-04,2025-06-26,4361.793333333333,174,0.06896551724137931
LRM02,5607,9089,0.62,10771827.78,1185.15,2025-01-01,2025-06-30,1921.1392509363295,181,30.977900552486187
LRM021,1274,3057,0.42,2517864.48,823.64,2025-01-01,2025-06-30,1976.3457456828885,181,7.038674033149171
LRM03,544,895,0.61,1323255.76,1478.5,2025-01-01,2025-06-30,2432.4554411764707,181,3.005524861878453
LSG01,625,939,0.67,1708619.75,1819.62,2025-01-01,2025-06-30,2733.7916,181,3.453038674033149
LSG011,228,504,0.45,673545.54,1336.4,2025-01-01,2025-06-26,2954.147105263158,177,1.2881355932203389
LSG02,213,337,0.63,291101.56,863.8,2025-01-01,2025-06-30,1366.6739906103287,181,1.1767955801104972
LSG03,173,223,0.78,309533.99,1388.04,2025-01-01,2025-06-30,1789.2138150289018,181,0.9558011049723757
LSJ01,118,166,0.71,971612.84,5853.09,2025-01-02,2025-06-30,8234.007118644067,180,0.6555555555555556
LTF-01,540,1066,0.51,1265486.37,1187.14,2025-02-10,2025-06-30,2343.493277777778,141,3.8297872340425534
LTF-02,401,823,0.49,947821.62,1151.67,2025-02-08,2025-06-30,2363.6449376558603,143,2.804195804195804
SC217,33,55,0.6,269955.12,4908.27,2025-01-01,2025-06-27,8180.458181818181,178,0.1853932584269663
SC605E,21,41,0.51,128183.84,3126.44,2025-01-01,2025-06-30,6103.992380952381,181,0.11602209944751381
SM-519,262,546,0.48,1039365.6,1903.6,2025-01-01,2025-06-30,3967.04427480916,181,1.4475138121546962
SM-617,126,242,0.52,713269.14,2947.39,2025-01-01,2025-06-30,5660.86619047619,181,0.6961325966850829
SM-618,85,177,0.48,412744.65,2331.89,2025-04-29,2025-06-30,4855.819411764706,63,1.3492063492063493
